,created_at,id,text,author_id,tokens
63,2022-03-11T18:17:03.000Z,1502347887795224590,*83 COUNTERPARTIES TAKE $1.558 TLN AT FED REVERSE REPO OP.,18856867,"['counterparties', 'take', 'tln', 'at', 'fed', 'reverse', 'repo', 'op']"
64,2022-03-11T18:15:27.000Z,1502347486773624837,*SEC AWARDS $14M TO WHISTLEBLOWER WHO EXPOSED ONGOING FRAUD,18856867,"['sec', 'award', 'm', 'to', 'whistleblower', 'who', 'exposed', 'ongoing', 'fraud']"
65,2022-03-11T18:12:26.000Z,1502346725310279680,"*BIDEN: MAKE NO MISTAKE, INFLATION IS LARGELY THE FAULT OF PUTIN",18856867,"['biden', 'make', 'no', 'mistake', 'inflation', 'is', 'largely', 'the', 'fault', 'of', 'putin']"
66,2022-03-11T18:07:13.000Z,1502345413105434636,El Salvador Bitcoin-Backed Bond May Launch Next Week https://t.co/pgnCXRj9Eo,18856867,"['el', 'salvador', 'bitcoinbacked', 'bond', 'may', 'launch', 'next', 'week', 'httpstcopgncxrjeo']"
67,2022-03-11T18:07:12.000Z,1502345408680505349,"If China gives Tsingshan a liquidity lifeline to fund its short squeeze (and unwind), does that mean that JPM will make billions on its nickel long (it is said to have exposure to a third of Tsingshan's 150,000 ton short).",18856867,"['if', 'china', 'give', 'tsingshan', 'a', 'liquidity', 'lifeline', 'to', 'fund', 'it', 'short', 'squeeze', 'and', 'unwind', 'doe', 'that', 'mean', 'that', 'jpm', 'will', 'make', 'billion', 'on', 'it', 'nickel', 'long', 'it', 'is', 'said', 'to', 'have', 'exposure', 'to', 'a', 'third', 'of', 'tsingshans', 'ton', 'short']"
68,2022-03-11T18:04:53.000Z,1502344827517689864,*U.S. OIL RIG COUNT UP 8 TO 527 - BAKER HUGHES SAYS,18856867,"['u', 'oil', 'rig', 'count', 'up', 'to', 'baker', 'hughes', 'say']"
69,2022-03-11T17:54:41.000Z,1502342260452646912,"*BIDEN: THE MOMENT RUSSIAN MARKET OPENS, IT WILL BE DISBANDED",18856867,"['biden', 'the', 'moment', 'russian', 'market', 'open', 'it', 'will', 'be', 'disbanded']"
70,2022-03-11T17:50:55.000Z,1502341313403965447,"*JPMORGAN FALLS TO SESSION LOWS, DOWN AS MUCH AS 1.2%",18856867,"['jpmorgan', 'fall', 'to', 'session', 'low', 'down', 'a', 'much', 'a']"
71,2022-03-11T17:46:55.000Z,1502340304673939463,"That explains why JPM was rushing to bail it out - someone needs to make payment 

https://t.co/O8I4yQ4LFP https://t.co/tq8ZoLQurT",18856867,"['that', 'explains', 'why', 'jpm', 'wa', 'rushing', 'to', 'bail', 'it', 'out', 'someone', 'need', 'to', 'make', 'payment', 'httpstcooiyqlfp', 'httpstcotqzolqurt']"
72,2022-03-11T17:46:06.000Z,1502340097559212038,*JPMORGAN IS BIGGEST COUNTERPARTY FOR NICKEL TYCOON’S SHORT BETS,18856867,"['jpmorgan', 'is', 'biggest', 'counterparty', 'for', 'nickel', 'tycoon', 'short', 'bet']"
73,2022-03-11T17:40:58.000Z,1502338806241968132,*WHO EXPERTS DISCUSSING HOW TO DEFINE END OF COVID EMERGENCY,18856867,"['who', 'expert', 'discussing', 'how', 'to', 'define', 'end', 'of', 'covid', 'emergency']"
74,2022-03-11T17:34:06.000Z,1502337080470425601,*CHINA'S UN ENVOY REJECTS U.S. CHARGE OF BACKING DISINFORMATION,18856867,"['china', 'un', 'envoy', 'reject', 'u', 'charge', 'of', 'backing', 'disinformation']"
75,2022-03-11T17:26:13.000Z,1502335097411969035,Drone From Ukraine War Travels Over Multiple NATO Countries Before Crashing In Croatia https://t.co/6qSqsVjkrs,18856867,"['drone', 'from', 'ukraine', 'war', 'travel', 'over', 'multiple', 'nato', 'country', 'before', 'crashing', 'in', 'croatia', 'httpstcoqsqsvjkrs']"
76,2022-03-11T17:19:54.000Z,1502333504763408384,biggest ever outflow from European equities https://t.co/z9lMharWtA,18856867,"['biggest', 'ever', 'outflow', 'from', 'european', 'equity', 'httpstcozlmharwta']"
